# STH Efficiency	g(Catalyst) / L	\$ / kg(Catalyst)	Catalyst Lifetime / years	H2 Cost
# ['Solar-to-Hydrogen Efficiency', 'STH (%)', 'Value']	['Catalyst', 'Concentration (g/L)', 'Value']	['Catalyst', 'Cost per kg ($)', 'Value']	['Catalyst', 'Lifetime (years)', 'Value']	
# value	value	value	value	
# [0.02 0.2 ]	[0.01  0.533]	[ 100. 3000.]	[0.5 1. ]	
5.528134821780608665e-02	4.112616042361061375e-01	2.329698959196019587e+03	9.912618296825558284e-01	2.823534132472174107e+01
7.580745180257661420e-02	3.384550630977385399e-01	2.968026860403560477e+03	5.623112931960392302e-01	3.588853407089514747e+01
9.805697376110993069e-02	1.617457782132958877e-01	2.793370004522784598e+02	9.897738956268455901e-01	2.237648618850417659e+00
1.508039617097207408e-01	2.797904301271474381e-01	2.304470626401128811e+03	7.749836567019687816e-01	9.934042508745999811e+00
5.566939269148429847e-02	5.710986564177924357e-02	6.298135184466897272e+02	5.709084433554376670e-01	3.642378535722659905e+00
7.504552007091513932e-02	3.710772552651156464e-01	5.645384774910762644e+02	8.670645204111135929e-01	6.534954284450758877e+00
5.325017502739146091e-02	5.183022468642616287e-01	2.402844402287655157e+03	8.659988269931138127e-01	4.170974511876118385e+01
8.060863592176570336e-02	2.954883978611558826e-01	2.818022812782775873e+03	7.218621704417020890e-01	2.223734742050013580e+01
1.832008241532161463e-01	3.054435915153554393e-01	2.937117455737595719e+03	6.566334226343291114e-01	1.273046983743712524e+01
1.705644839878537600e-01	5.049003008094339329e-01	2.040988979335684917e+03	7.507006661944687353e-01	1.291720272821526194e+01
1.400672342149206773e-01	5.154583363206852731e-01	9.386710639463555026e+02	6.371744018907705698e-01	9.062163653024175147e+00
1.040993194714096293e-01	3.145290266007974012e-01	2.030986959515528042e+03	9.578817423941927700e-01	1.138343477979864993e+01
8.263848385090721838e-02	4.343395345054771872e-01	2.443934900314235165e+03	5.246468979763860840e-01	3.685487615690724539e+01
7.764184414647104515e-02	5.058812647701415033e-01	1.666025815078348614e+03	7.789988972579602322e-01	2.203562985545062247e+01
3.793975771886359122e-02	3.244869824898377608e-01	1.790377176002998567e+03	5.687960645554526184e-01	4.061638649454544492e+01
8.383236080495254372e-02	1.525447883682177763e-01	2.734391378983933464e+03	6.211062571939403032e-01	1.279450784685899301e+01
5.357510155427464005e-02	2.671549303621604809e-01	1.602478701980219512e+03	9.780434903910311117e-01	1.427121565643804146e+01
1.458116046498714458e-01	3.577951416953661923e-01	1.686962670816293894e+03	7.043764695103024165e-01	1.011475977333205201e+01
1.783176256866135234e-01	4.846818248305234111e-01	2.938578391534976618e+03	7.929899458406423074e-01	1.659511190859246099e+01
1.957376260539603063e-01	4.984472991976257039e-01	1.045212402334917897e+03	7.584239599226149098e-01	6.490063006860677497e+00
8.846426057263138965e-02	2.516080304778781085e-01	1.876630760356569226e+03	7.293720148854803131e-01	1.196753556698337562e+01
7.777520439640688010e-02	6.913983507576303145e-02	2.891345106444094654e+03	9.396652892999709517e-01	5.797442144650741369e+00
1.496874304103741338e-01	2.462330116719851358e-01	9.371369017948859437e+02	7.556223142820814864e-01	4.537699593735931458e+00
1.310633205752506913e-01	4.724227588420923940e-01	2.515808578825174209e+03	7.773018713397097379e-01	1.839287276697603701e+01
1.169462582171094112e-01	5.310288827493737235e-02	1.237082225464018393e+03	5.023951507354491586e-01	3.087170378889371847e+00
1.139088184371223056e-01	4.148663304455425527e-01	1.874556203840839430e+02	6.698416138214395854e-01	2.935698975472784245e+00
1.433102349292655620e-01	7.116605141438410442e-02	2.195099712008878214e+03	6.173145146721847887e-01	3.960408061262184809e+00
2.647830834655002727e-02	1.867410401821658628e-01	6.624499966879893691e+02	5.633459484620163549e-01	1.466925540200013600e+01
6.650539594245376274e-02	3.328335810036646136e-01	8.906593836117227738e+02	7.705024245021507845e-01	1.031928436060123921e+01
2.964996256553674436e-02	3.887999935766042747e-01	4.415357509912478804e+02	5.776614890623399390e-01	1.683448648918059476e+01
1.652085052110293939e-01	2.248928738860455356e-01	1.413938572325338100e+03	5.448367236633683275e-01	6.726808522563914039e+00
1.156854038228953691e-01	4.144819002893332938e-01	2.534773854660153120e+03	7.336887950895438770e-01	1.969643925577046062e+01
1.327834403074261427e-01	9.267073563919678292e-02	8.016906073666996235e+02	5.133444430827496241e-01	2.990291027504881072e+00
9.140818552367144245e-02	4.715715992795477263e-02	2.883706455824149543e+03	8.445200181051549793e-01	4.166289293912943670e+00
1.895340875179352402e-01	5.183344164403594911e-01	2.713851236256598440e+03	8.871534603125412755e-01	1.356239529207839389e+01
1.746395270484178974e-01	1.748004759007409925e-01	8.118001966058408243e+02	8.675247074848480011e-01	2.655139540458717029e+00
1.904990922824145727e-01	4.251962411565659017e-01	2.690437869240834971e+03	8.360478304696052909e-01	1.180742043021785648e+01
1.183401348289207788e-01	4.865702589504548592e-01	1.163905366685758509e+03	6.224302408597603975e-01	1.289494173026200841e+01
1.682995619808661525e-01	3.806028128441295982e-02	1.251442341071023748e+03	6.143525714942965621e-01	1.893061457847166729e+00
1.972563295596158062e-01	1.585190870622935899e-01	1.114009323393287559e+03	8.365839463780060381e-01	2.860298112611232124e+00
9.851972319772564490e-02	9.944461413477766187e-02	1.273471638469554136e+03	5.052431380716342346e-01	5.018387465434383188e+00
1.486337324425713313e-01	2.551130323984969750e-01	7.399940820744276380e+02	7.766937077869711104e-01	3.907671878665315290e+00
1.706360557914325671e-01	7.861502094213533576e-02	4.344098082957586939e+02	6.624198844951576515e-01	1.678368272422623653e+00
